id,model_year,model_type,mileage,condition,price_now,price_3_years_ago,appreciated,image_paths,seller_description,source
p00001,1987,944,132000,Fair,16250,13944,yes,"[""project/data/images/p00001_image_1.jpg"", ""project/data/images/p00001_image_10.jpg"", ""project/data/images/p00001_image_11.jpg"", ""project/data/images/p00001_image_12.jpg"", ""project/data/images/p00001_image_2.jpg"", ""project/data/images/p00001_image_3.jpg"", ""project/data/images/p00001_image_4.jpg"", ""project/data/images/p00001_image_5.jpg"", ""project/data/images/p00001_image_6.jpg"", ""project/data/images/p00001_image_7.jpg"", ""project/data/images/p00001_image_8.jpg"", ""project/data/images/p00001_image_9.jpg""]",project/data/descriptions/p00001_seller_description.txt,https://bringatrailer.com/listing/1987-porsche-944-turbo-167/
p00002,1970,911,93000,Fair,84050,76500,yes,"[""project/data/images/p00002_image_1.jpg"", ""project/data/images/p00002_image_10.jpg"", ""project/data/images/p00002_image_11.jpg"", ""project/data/images/p00002_image_12.jpg"", ""project/data/images/p00002_image_2.jpg"", ""project/data/images/p00002_image_3.jpg"", ""project/data/images/p00002_image_4.jpg"", ""project/data/images/p00002_image_5.jpg"", ""project/data/images/p00002_image_6.jpg"", ""project/data/images/p00002_image_7.jpg"", ""project/data/images/p00002_image_8.jpg"", ""project/data/images/p00002_image_9.jpg""]",project/data/descriptions/p00002_seller_description.txt,https://bringatrailer.com/listing/1970-porsche-911e-targa-4/
p00003,1970,911,2,Excellent,500000,73000,yes,"[""project/data/images/p00003_image_1.jpg"", ""project/data/images/p00003_image_10.jpg"", ""project/data/images/p00003_image_11.jpg"", ""project/data/images/p00003_image_12.jpg"", ""project/data/images/p00003_image_2.jpg"", ""project/data/images/p00003_image_3.jpg"", ""project/data/images/p00003_image_4.jpg"", ""project/data/images/p00003_image_5.jpg"", ""project/data/images/p00003_image_6.jpg"", ""project/data/images/p00003_image_7.jpg"", ""project/data/images/p00003_image_8.jpg"", ""project/data/images/p00003_image_9.jpg""]",project/data/descriptions/p00003_seller_description.txt,https://bringatrailer.com/listing/1966-porsche-906-11/
p00004,2018,911,1200,Fair,435000,322000,yes,"[""project/data/images/p00004_image_1.jpg"", ""project/data/images/p00004_image_10.jpg"", ""project/data/images/p00004_image_11.jpg"", ""project/data/images/p00004_image_12.jpg"", ""project/data/images/p00004_image_2.jpg"", ""project/data/images/p00004_image_3.jpg"", ""project/data/images/p00004_image_4.jpg"", ""project/data/images/p00004_image_5.jpg"", ""project/data/images/p00004_image_6.jpg"", ""project/data/images/p00004_image_7.jpg"", ""project/data/images/p00004_image_8.jpg"", ""project/data/images/p00004_image_9.jpg""]",project/data/descriptions/p00004_seller_description.txt,https://bringatrailer.com/listing/2018-porsche-911-gt3-touring-64/
p00005,1965,356,148,Excellent,755000,4500,yes,"[""project/data/images/p00005_image_1.jpg"", ""project/data/images/p00005_image_10.jpg"", ""project/data/images/p00005_image_11.jpg"", ""project/data/images/p00005_image_12.jpg"", ""project/data/images/p00005_image_2.jpg"", ""project/data/images/p00005_image_3.jpg"", ""project/data/images/p00005_image_4.jpg"", ""project/data/images/p00005_image_5.jpg"", ""project/data/images/p00005_image_6.jpg"", ""project/data/images/p00005_image_7.jpg"", ""project/data/images/p00005_image_8.jpg"", ""project/data/images/p00005_image_9.jpg""]",project/data/descriptions/p00005_seller_description.txt,https://bringatrailer.com/listing/1965-porsche-356-emory-special-convertible/
p00006,2008,911,7000,Fair,243997,115000,yes,"[""project/data/images/p00006_image_1.jpg"", ""project/data/images/p00006_image_10.jpg"", ""project/data/images/p00006_image_11.jpg"", ""project/data/images/p00006_image_12.jpg"", ""project/data/images/p00006_image_2.jpg"", ""project/data/images/p00006_image_3.jpg"", ""project/data/images/p00006_image_4.jpg"", ""project/data/images/p00006_image_5.jpg"", ""project/data/images/p00006_image_6.jpg"", ""project/data/images/p00006_image_7.jpg"", ""project/data/images/p00006_image_8.jpg"", ""project/data/images/p00006_image_9.jpg""]",project/data/descriptions/p00006_seller_description.txt,https://bringatrailer.com/listing/2008-porsche-911-gt3-rs-31/
p00007,2003,911,141000,Fair,41996,22600,yes,"[""project/data/images/p00007_image_1.jpg"", ""project/data/images/p00007_image_10.jpg"", ""project/data/images/p00007_image_11.jpg"", ""project/data/images/p00007_image_12.jpg"", ""project/data/images/p00007_image_2.jpg"", ""project/data/images/p00007_image_3.jpg"", ""project/data/images/p00007_image_4.jpg"", ""project/data/images/p00007_image_5.jpg"", ""project/data/images/p00007_image_6.jpg"", ""project/data/images/p00007_image_7.jpg"", ""project/data/images/p00007_image_8.jpg"", ""project/data/images/p00007_image_9.jpg""]",project/data/descriptions/p00007_seller_description.txt,https://bringatrailer.com/listing/2003-porsche-911-turbo-coupe-96/
p00008,1967,911,10,Excellent,1515151,19911,yes,"[""project/data/images/p00008_image_1.jpg"", ""project/data/images/p00008_image_10.jpg"", ""project/data/images/p00008_image_11.jpg"", ""project/data/images/p00008_image_12.jpg"", ""project/data/images/p00008_image_2.jpg"", ""project/data/images/p00008_image_3.jpg"", ""project/data/images/p00008_image_4.jpg"", ""project/data/images/p00008_image_5.jpg"", ""project/data/images/p00008_image_6.jpg"", ""project/data/images/p00008_image_7.jpg"", ""project/data/images/p00008_image_8.jpg"", ""project/data/images/p00008_image_9.jpg""]",project/data/descriptions/p00008_seller_description.txt,https://bringatrailer.com/listing/1967-porsche-910-4/
p00009,1993,911,16000,Fair,255000,290000,no,"[""project/data/images/p00009_image_1.jpg"", ""project/data/images/p00009_image_10.jpg"", ""project/data/images/p00009_image_11.jpg"", ""project/data/images/p00009_image_12.jpg"", ""project/data/images/p00009_image_2.jpg"", ""project/data/images/p00009_image_3.jpg"", ""project/data/images/p00009_image_4.jpg"", ""project/data/images/p00009_image_5.jpg"", ""project/data/images/p00009_image_6.jpg"", ""project/data/images/p00009_image_7.jpg"", ""project/data/images/p00009_image_8.jpg"", ""project/data/images/p00009_image_9.jpg""]",project/data/descriptions/p00009_seller_description.txt,https://bringatrailer.com/listing/1993-porsche-911-rs-america-68/
p00010,1957,356,94000,Excellent,325000,286000,yes,"[""project/data/images/p00010_image_1.jpg"", ""project/data/images/p00010_image_10.jpg"", ""project/data/images/p00010_image_11.jpg"", ""project/data/images/p00010_image_12.jpg"", ""project/data/images/p00010_image_2.jpg"", ""project/data/images/p00010_image_3.jpg"", ""project/data/images/p00010_image_4.jpg"", ""project/data/images/p00010_image_5.jpg"", ""project/data/images/p00010_image_6.jpg"", ""project/data/images/p00010_image_7.jpg"", ""project/data/images/p00010_image_8.jpg"", ""project/data/images/p00010_image_9.jpg""]",project/data/descriptions/p00010_seller_description.txt,https://bringatrailer.com/listing/1957-porsche-356a-speedster-47/
p00011,1970,914,38000,Fair,100000,22500,yes,"[""project/data/images/p00011_image_1.jpg"", ""project/data/images/p00011_image_10.jpg"", ""project/data/images/p00011_image_11.jpg"", ""project/data/images/p00011_image_12.jpg"", ""project/data/images/p00011_image_2.jpg"", ""project/data/images/p00011_image_3.jpg"", ""project/data/images/p00011_image_4.jpg"", ""project/data/images/p00011_image_5.jpg"", ""project/data/images/p00011_image_6.jpg"", ""project/data/images/p00011_image_7.jpg"", ""project/data/images/p00011_image_8.jpg"", ""project/data/images/p00011_image_9.jpg""]",project/data/descriptions/p00011_seller_description.txt,https://bringatrailer.com/listing/1970-porsche-914-6-103/
p00012,2007,911,20000,Fair,50200,57000,no,"[""project/data/images/p00012_image_1.jpg"", ""project/data/images/p00012_image_10.jpg"", ""project/data/images/p00012_image_11.jpg"", ""project/data/images/p00012_image_12.jpg"", ""project/data/images/p00012_image_2.jpg"", ""project/data/images/p00012_image_3.jpg"", ""project/data/images/p00012_image_4.jpg"", ""project/data/images/p00012_image_5.jpg"", ""project/data/images/p00012_image_6.jpg"", ""project/data/images/p00012_image_7.jpg"", ""project/data/images/p00012_image_8.jpg"", ""project/data/images/p00012_image_9.jpg""]",project/data/descriptions/p00012_seller_description.txt,https://bringatrailer.com/listing/2007-porsche-911-carrera-4s-cabriolet-26/
p00013,1974,911,57000,Fair,84500,65500,yes,"[""project/data/images/p00013_image_1.jpg"", ""project/data/images/p00013_image_10.jpg"", ""project/data/images/p00013_image_11.jpg"", ""project/data/images/p00013_image_12.jpg"", ""project/data/images/p00013_image_2.jpg"", ""project/data/images/p00013_image_3.jpg"", ""project/data/images/p00013_image_4.jpg"", ""project/data/images/p00013_image_5.jpg"", ""project/data/images/p00013_image_6.jpg"", ""project/data/images/p00013_image_7.jpg"", ""project/data/images/p00013_image_8.jpg"", ""project/data/images/p00013_image_9.jpg""]",project/data/descriptions/p00013_seller_description.txt,https://bringatrailer.com/listing/1974-porsche-911-coupe-38/
p00014,1957,356,94000,Excellent,297356,286000,yes,"[""project/data/images/p00014_image_1.jpg"", ""project/data/images/p00014_image_10.jpg"", ""project/data/images/p00014_image_11.jpg"", ""project/data/images/p00014_image_12.jpg"", ""project/data/images/p00014_image_2.jpg"", ""project/data/images/p00014_image_3.jpg"", ""project/data/images/p00014_image_4.jpg"", ""project/data/images/p00014_image_5.jpg"", ""project/data/images/p00014_image_6.jpg"", ""project/data/images/p00014_image_7.jpg"", ""project/data/images/p00014_image_8.jpg"", ""project/data/images/p00014_image_9.jpg""]",project/data/descriptions/p00014_seller_description.txt,https://bringatrailer.com/listing/1957-porsche-356a-speedster-47-2/
p00015,1994,911,65000,Fair,182222,132000,yes,"[""project/data/images/p00015_image_1.jpg"", ""project/data/images/p00015_image_10.jpg"", ""project/data/images/p00015_image_11.jpg"", ""project/data/images/p00015_image_12.jpg"", ""project/data/images/p00015_image_2.jpg"", ""project/data/images/p00015_image_3.jpg"", ""project/data/images/p00015_image_4.jpg"", ""project/data/images/p00015_image_5.jpg"", ""project/data/images/p00015_image_6.jpg"", ""project/data/images/p00015_image_7.jpg"", ""project/data/images/p00015_image_8.jpg"", ""project/data/images/p00015_image_9.jpg""]",project/data/descriptions/p00015_seller_description.txt,https://bringatrailer.com/listing/1994-porsche-911-carrera-4-widebody-24/
p00016,2021,911,71000,Fair,34500,12161,yes,"[""project/data/images/p00016_image_1.jpg"", ""project/data/images/p00016_image_10.jpg"", ""project/data/images/p00016_image_11.jpg"", ""project/data/images/p00016_image_12.jpg"", ""project/data/images/p00016_image_2.jpg"", ""project/data/images/p00016_image_3.jpg"", ""project/data/images/p00016_image_4.jpg"", ""project/data/images/p00016_image_5.jpg"", ""project/data/images/p00016_image_6.jpg"", ""project/data/images/p00016_image_7.jpg"", ""project/data/images/p00016_image_8.jpg"", ""project/data/images/p00016_image_9.jpg""]",project/data/descriptions/p00016_seller_description.txt,https://bringatrailer.com/listing/2021-porsche-cayenne-9/
p00017,,911,25,Fair,17500,,yes,,project/data/descriptions/p00017_seller_description.txt,https://bringatrailer.com/listing/2023-porsche-917-2/
p00018,2017,911,87000,Fair,24500,40250,no,"[""project/data/images/p00018_image_1.jpg"", ""project/data/images/p00018_image_10.jpg"", ""project/data/images/p00018_image_11.jpg"", ""project/data/images/p00018_image_12.jpg"", ""project/data/images/p00018_image_2.jpg"", ""project/data/images/p00018_image_3.jpg"", ""project/data/images/p00018_image_4.jpg"", ""project/data/images/p00018_image_5.jpg"", ""project/data/images/p00018_image_6.jpg"", ""project/data/images/p00018_image_7.jpg"", ""project/data/images/p00018_image_8.jpg"", ""project/data/images/p00018_image_9.jpg""]",project/data/descriptions/p00018_seller_description.txt,https://bringatrailer.com/listing/2017-porsche-cayenne-gts-6/
