id,model_year,model_type,mileage,condition,sale_price,sale_date,source
y00001,1995,911,79000,Fair,46000,2020-11-30,https://bringatrailer.com/listing/1995-porsche-911-carrera-cabriolet-48/
y00002,2006,911,52000,Fair,23000,2020-11-30,https://bringatrailer.com/listing/2006-porsche-cayenne-titanium-edition/
y00003,2001,Boxster,29000,Fair,16300,2020-11-30,https://bringatrailer.com/listing/2001-porsche-boxster-s-53/
y00004,2006,911,171000,Fair,37000,2020-12-01,https://bringatrailer.com/listing/2006-porsche-cayenne-turbo-s-2/
y00005,1986,944,123000,Fair,10950,2020-12-01,https://bringatrailer.com/listing/1986-porsche-944-turbo-159/
y00006,1990,911,39000,Fair,78000,2020-12-01,https://bringatrailer.com/listing/1990-porsche-911-carrera-targa-7/
y00007,1967,912,51000,Fair,38000,2020-12-01,https://bringatrailer.com/listing/1967-porsche-912-18-2/
y00008,2006,911,51000,Fair,38599,2020-12-01,https://bringatrailer.com/listing/2006-porsche-911-carrera-s-76/
y00009,1970,911,63000,Fair,43750,2020-12-01,https://bringatrailer.com/listing/1970-porsche-911t-targa-18/
y00010,2003,911,71000,Fair,29250,2020-12-01,https://bringatrailer.com/listing/2003-porsche-911-carrera-46/
y00011,1989,944,18000,Fair,67000,2020-12-02,https://bringatrailer.com/listing/1989-porsche-944-turbo-21/
y00012,2013,911,18000,Fair,68500,2020-12-02,https://bringatrailer.com/listing/2013-porsche-911-carrera-s-11/
y00013,2002,Boxster,43000,Fair,14750,2020-12-02,https://bringatrailer.com/listing/2002-porsche-boxster-11/
y00014,1988,911,101000,Fair,44750,2020-12-02,https://bringatrailer.com/listing/1988-porsche-911-carrera-cabriolet-25/
y00015,1975,914,10000,Fair,80000,2020-12-02,https://bringatrailer.com/listing/1975-porsche-914-2-0-17/
y00016,2005,911,32000,Fair,51500,2020-12-02,https://bringatrailer.com/listing/2005-porsche-911-turbo-s-46/
y00017,2011,911,22000,Fair,87500,2020-12-03,https://bringatrailer.com/listing/2011-porsche-911-turbo-s-23/
y00018,1991,911,69000,Fair,66500,2020-12-03,https://bringatrailer.com/listing/1991-porsche-911-carrera-2-40/
y00019,2008,911,92000,Fair,73500,2020-12-03,https://bringatrailer.com/listing/2008-porsche-911-gt3-11/
y00020,1971,911,70000,Fair,55555,2020-12-03,https://bringatrailer.com/listing/1971-porsche-911t-47/
y00021,2009,911,44000,Fair,42250,2020-12-03,https://bringatrailer.com/listing/2009-porsche-911-carrera-8/
y00022,1957,356,33000,Excellent,230000,2020-12-04,https://bringatrailer.com/listing/1957-porsche-356a-1600-6/
y00023,2001,Boxster,38000,Fair,13500,2020-12-04,https://bringatrailer.com/listing/2001-porsche-boxster-2-7-24/
y00024,2007,911,7000,Fair,73000,2020-12-04,https://bringatrailer.com/listing/2007-porsche-911-turbo-84/
y00025,1980,911,174000,Fair,32000,2020-12-04,https://bringatrailer.com/listing/1980-porsche-911sc-targa-36/
y00026,2005,911,36000,Fair,55000,2020-12-04,https://bringatrailer.com/listing/2005-porsche-911-turbo-s-47/
y00027,1960,356,69000,Fair,71500,2020-12-07,https://bringatrailer.com/listing/1960-porsche-356b-t5-coupe-10/
y00028,1987,928,59000,Fair,32500,2020-12-07,https://bringatrailer.com/listing/1987-porsche-928-s4-76/
y00029,1999,911,57000,Fair,20000,2020-12-07,https://bringatrailer.com/listing/1999-porsche-911-carrera-154/
y00030,2000,911,61000,Fair,97000,2020-12-08,https://bringatrailer.com/listing/2000-porsche-911-gt3-clubsport/
y00031,2008,911,21000,Fair,83500,2020-12-08,https://bringatrailer.com/listing/2008-porsche-911-turbo-20/
y00032,1974,911,2000,Fair,27000,2020-12-08,https://bringatrailer.com/listing/1974-porsche-911s-13/
